Solucion:
Valor Objetivo Z = 2010.0107436643648
Asignacion de Variables
x1 = 0.0
x2 = 0.0
x3 = 0.0
x4 = 0.0
x5 = 0.0
x6 = 0.0
x7 = 0.0
x8 = 0.0
x9 = 0.0
x10 = 0.0
x11 = 0.0
x12 = 0.0
x13 = 0.0
x14 = 0.024741775122463984
x15 = 0.0
x16 = 0.0
x17 = 0.0
x18 = 0.034747771247824195
x19 = 0.0
x20 = 0.0
x21 = 0.0
x22 = 0.0
x23 = 0.0
x24 = 0.0
x25 = 0.0
x26 = 0.0
x27 = 0.0
x28 = 0.0
x29 = 0.0
x30 = 0.0
x31 = 0.0
x32 = 0.0
x33 = 0.0
x34 = 0.0
x35 = 0.0
x36 = 0.0
x37 = 0.0
x38 = 0.0
x39 = 0.0
x40 = 1.1614176741877915
x41 = 0.0
x42 = 0.0
x43 = 0.0
x44 = 0.0
x45 = 0.0
x46 = 0.0
x47 = 0.0
x48 = 0.0
x49 = 0.0
x50 = 0.0
x51 = 0.0
x52 = 0.0
x53 = 0.0
x54 = 0.0
x55 = 0.0
x56 = 0.0
x57 = 0.0
x58 = 0.0
x59 = 0.0
x60 = 0.0
x61 = 0.0
x62 = 0.0
x63 = 0.0
x64 = 0.0
x65 = 0.3015327926137546
x66 = 0.0
x67 = 0.0
x68 = 0.028674838466721597
x69 = 0.0
x70 = 0.0
x71 = 0.0
x72 = 0.0
x73 = 0.0
x74 = 0.0
x75 = 0.0
x76 = 0.0
x77 = 0.0
x78 = 0.0
x79 = 0.0
x80 = 0.0
x81 = 0.0
x82 = 0.0
x83 = 0.1372181775021437
x84 = 0.0
x85 = 0.0
x86 = 0.0
x87 = 0.0
x88 = 0.0
x89 = 0.0
x90 = 0.0
x91 = 0.0
x92 = 0.0
x93 = 0.0
x94 = 1.3218003577732405
x95 = 0.0
x96 = 0.0
x97 = 0.28834228400289336
x98 = 0.0
x99 = 0.0
x100 = 0.0
x101 = 0.0
x102 = 0.0
x103 = 0.0
x104 = 0.0
x105 = 0.0
x106 = 0.40987915425035903
x107 = 0.0
x108 = 0.0
x109 = 0.0
x110 = 0.0
x111 = 0.0
x112 = 0.0
x113 = 0.0
x114 = 0.0
x115 = 0.0
x116 = 0.0
x117 = 0.0
x118 = 0.0
x119 = 0.0
x120 = 0.0
x121 = 0.0
x122 = 0.0
x123 = 0.0
